cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
1003373755,2019-05-11 08:37:00.0,Foundation Brake Manufaturing Pvt. Ltd ,180.0,BLRT1,416001,847030,BP1215,ODA_2_2
1003301510,2019-05-11 08:37:00.0,Anabond,2.0,MAAT2,370435,847033,BP1647,ODA_3_7
8000774398,2019-05-11 08:37:00.0,PYROTECH ELECTRONICS PVT. LTD. (Dense),20.0,JAIT1,370421,847033,BP1647,ODA_2_2
1003169287,2019-05-11 08:37:00.0,COMAC INDIA PVT LTD,20.0,DELT1,370421,847033,BP1647,ODA_2_2
1003348604,2019-05-11 09:38:00.0,RETAIL,128.0,DELT1,403527,847034,BP1426,ODA_1_1
1003379062,2019-05-11 08:51:00.0,Diversey India Hygiene Pvt. Ltd,1345.0,BOMT1,416001,847040,BP1215,ODA_2_2
2000871519,2019-05-11 08:59:00.0,RETAIL,50.0,LKOT1,403507,847043,BP1426,ODA_1_1
8000575887,2019-05-11 08:59:00.0,Delnet Connect LLP,27.0,DELT1,403507,847043,BP1426,ODA_1_1
8000675298,2019-05-11 08:59:00.0,Shalibhadra Creation Pvt Ltd,30.0,BOMT2,403507,847043,BP1426,ODA_1_1
1003032414,2019-05-11 10:24:00.0,Sleek International Pvt. Ltd.(Zoom),15.0,PNQT1,403521,847045,BP1426,ODA_1_1
