cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
1003039549,2019-05-10 13:09:00.0,Ashok Leyland Ltd,1.0,DELT1,485441,846230,BP1719,ODA_2_4
1002343790,2019-05-10 13:09:00.0,Mohan Clothing Company pvt ltd,7.0,IDRT1,485001,846230,BP1719,ODA_2_4
1003046114,2019-05-10 13:09:00.0,Storia Foods and Beverages Pvt. Ltd,190.0,NAGT1,485005,846230,BP1719,ODA_2_4
1003300132,2019-05-10 12:56:00.0,TOYOTA MATERIAL HANDLING INDIA PVT. LTD. ,28.0,BLRT1,530041,846246,BP1673,ODA_1_1
1003369079,2019-05-10 12:56:00.0,Narayan Offset Works Pvt Ltd,300.0,NAGT1,531031,846246,BP1673,ODA_1_1
1003317281,2019-05-10 12:56:00.0,Schwing Stetter India Private Limtied,150.0,MAAT1,531061,846246,BP1673,ODA_1_1
2000877751,2019-05-10 12:57:00.0,RETAIL,46.0,MAAT2,531061,846248,BP1673,ODA_1_1
1003367580,2019-05-10 12:57:00.0,Essae Teraoka (Bommasandra),80.0,BLRT1,531011,846248,BP1673,ODA_1_1
1003367572,2019-05-10 12:57:00.0,Essae Teraoka (Bommasandra),10.0,BLRT1,531011,846248,BP1673,ODA_1_1
1002925241,2019-05-10 14:17:00.0,Givaudan (India) Pvt. Ltd.,1266.0,AMDT1,524321,846259,BP1310,ODA_1_1
1003367555,2019-05-10 14:12:00.0,Essae Teraoka (Bommasandra),21.0,BLRT1,524320,846262,BP1310,ODA_1_1
2000874404,2019-05-10 14:18:00.0,RETAIL,10.0,HYDT1,524323,846264,BP1310,ODA_1_1
8000706405,2019-05-10 12:46:00.0,RETAIL,28.0,BOMT2,144527,846269,BP1152,ODA_2_2
1003151294,2019-05-10 18:30:00.0,BABA ASSOCIATES & LOGISTICS PRIVATE LIMITED,280.0,BOMT1,506303,846278,BP1262,ODA_2_2
1003133587,2019-05-10 13:13:00.0,Endurance Technology,386.936,PNQT2,735101,846279,BP1677,ODA_2_2
8000785045,2019-05-10 13:13:00.0,RETAIL,185.0,LKOT1,735101,846279,BP1677,ODA_2_2
8000785064,2019-05-10 13:13:00.0,RETAIL,75.0,LKOT1,735101,846279,BP1677,ODA_2_2
8000760804,2019-05-10 13:13:00.0,CAPITAL BUSINESS GROUP,20.0,DELT1,735101,846279,BP1677,ODA_2_2
8000755437,2019-05-10 16:46:00.0,Aimil India Ltd.,20.0,DELT1,136118,846280,BP1459,ODA_1_1
2000856682,2019-05-10 12:53:00.0,RETAIL,8.0,BOMT1,584103,846282,BP1401,ODA_5_5
1003039672,2019-05-10 12:53:00.0,Ashok Leyland Ltd,15.0,DELT1,584102,846282,BP1401,ODA_5_5
1003098404,2019-05-10 12:53:00.0,(South)Nippon Express (India) pvt ltd,184.0,MAAT2,584102,846282,BP1401,ODA_5_5
8000785015,2019-05-10 12:59:00.0,RETAIL,50.0,LKOT1,532127,846290,BP1313,ODA_1_1
1002657789,2019-05-10 12:59:00.0,RETAIL,260.0,NOIT1,532127,846290,BP1313,ODA_1_1
1002910219,2019-05-10 13:56:00.0,THE BOMBAY DYEING MANUFACTURING COMPANY LTD,168.0,BOMT1,522001,846292,BP1100,ODA_2_2
2000629702,2019-05-10 12:59:00.0,RETAIL,151.0,AMBT1,690518,846293,BP1643,ODA_1_1
1003330041,2019-05-10 13:09:00.0,HAAZTI INTERNATIONAL,21.0,MAAT2,532312,846295,BP1313,ODA_2_2
2000340196,2019-05-10 13:31:00.0,Carrier Midea India Private Limited,3.0,NAGT1,387570,846315,BP1057,ODA_1_1
2000850697,2019-05-10 13:31:00.0,Reliance Retail Limited (Projects),40.0,BOMT1,387411,846315,BP1057,ODA_1_1
2000661770,2019-05-10 14:45:00.0,RETAIL,20.0,BOMT1,621804,846326,BP1661,ODA_4_5
1003069854,2019-05-10 13:33:00.0,Flipkart India Private Ltd. (ZOOM),167.0,DELT1,141416,846342,BP1106,ODA_1_1
1003069873,2019-05-10 13:33:00.0,Flipkart India Private Ltd. (ZOOM),221.0,DELT1,141416,846342,BP1106,ODA_1_1
1003069887,2019-05-10 13:33:00.0,Flipkart India Private Ltd. (ZOOM),45.0,DELT1,141416,846342,BP1106,ODA_1_1
2000869101,2019-05-10 13:34:00.0,CORDOVA PUBLICATIONS PVT.LTD,320.0,NOIT1,361305,846345,BP1022,ODA_2_2
8000770438,2019-05-10 13:46:00.0,RETAIL,80.0,MAAT2,742147,846368,BP1184,ODA_1_1
1003330063,2019-05-10 13:46:00.0,HAAZTI INTERNATIONAL,32.0,MAAT2,742136,846368,BP1184,ODA_1_1
8000790601,2019-05-10 13:42:00.0,Makita Power Tools India Pvt Ltd,178.0,BLRT1,361140,846370,BP1022,ODA_1_4
1003344344,2019-05-10 13:59:00.0,C&S ELECTRIC LTD,205.0,NOIT1,515411,846392,BP1637,ODA_2_2
1002947858,2019-05-10 13:59:00.0,S & T Welcare Equipments Pvt Ltd,34.5,CJBT1,515411,846392,BP1637,ODA_2_2
1003373258,2019-05-10 14:03:00.0,TOYOTA MATERIAL HANDLING INDIA PVT. LTD. ,2.0,BLRT1,515211,846399,BP1637,ODA_2_2
1003114061,2019-05-10 14:03:00.0,TOYOTA MATERIAL HANDLING INDIA PVT. LTD. ,1.0,BLRT1,515211,846399,BP1637,ODA_2_2
1002811990,2019-05-10 14:37:00.0,LANDIS,540.0,CCUT1,573202,846417,BP1231,ODA_5_5
1002941685,2019-05-10 14:18:00.0,TECHNO ENGINEERING INDUSTRIES,102.0,LKOT1,144211,846418,BP1152,ODA_2_2
8000744094,2019-05-10 14:19:00.0,RETAIL,65.0,MAAT2,305901,846431,BP1274,ODA_2_2
1003349656,2019-05-10 14:19:00.0,J.K.FILES (INDIA) LIMITED,71.0,BOMT1,305901,846431,BP1274,ODA_2_2
1003372169,2019-05-10 14:19:00.0,ITC LTD-KOLKATA,3.0,DELT1,305901,846431,BP1274,ODA_2_2
8000753561,2019-05-10 17:35:00.0,BALAJI ACTION BUILDWELL,51.0,DELT1,503002,846442,BP1605,ODA_1_2
1003143041,2019-05-10 17:35:00.0,CLASSIC FASHIONS DIVISION,158.0,CJBT1,503224,846442,BP1605,ODA_1_2
8000594925,2019-05-10 17:35:00.0,RETAIL,100.0,DELT1,503111,846442,BP1605,ODA_2_3
1003320568,2019-05-10 17:35:00.0,Portronics Digital Pvt. Ltd.,5.0,DELT1,503001,846442,BP1605,ODA_1_2
1003348959,2019-05-10 17:35:00.0,TCNS CLOTHING COMPANY  LIMITED,49.0,DELT1,503002,846442,BP1605,ODA_1_2
8000760794,2019-05-10 17:35:00.0,BALAJI ACTION BUILDWELL,51.0,DELT1,503002,846442,BP1605,ODA_1_2
1003348989,2019-05-10 17:35:00.0,TCNS CLOTHING COMPANY  LIMITED,38.0,DELT1,503002,846442,BP1605,ODA_1_2
2000879608,2019-05-10 17:35:00.0,RETAIL,130.0,MAAT2,503001,846442,BP1605,ODA_1_2
2000879607,2019-05-10 17:35:00.0,RETAIL,60.0,MAAT2,503003,846442,BP1605,ODA_1_2
1003358782,2019-05-10 15:35:00.0,ETHICS INNOVATIONS PVT. LTD.,26.2,DELT1,673582,846468,BP1206,ODA_1_1
1003315130,2019-05-10 15:27:00.0,SUNRISE MARKETING,99.0,BLRT1,534002,846471,BP1100,ODA_1_1
1003317152,2019-05-10 14:47:00.0,Schwing Stetter India Private Limtied,20.0,MAAT1,517619,846493,BP1585,ODA_1_1
2000871679,2019-05-10 16:24:00.0,Injectoplast Pvt Ltd ,316.0,LKOT1,384215,846520,BP1534,ODA_1_1
